Tweet_id,User,Mentions
969089879446577152,el_pais,EL PAÍS España
969089879446577152,el_pais,S Moda
969089879446577152,el_pais,EL PAÍS Deportes
969089879446577152,el_pais,Óscar Gutiérrez
969089879446577152,el_pais,BuenaVida
969089879446577152,el_pais,EL PAÍS Madrid
969089879446577152,el_pais,Guía del Ocio
969089879446577152,el_pais,Victoria Torres B.
969089879446577152,el_pais,verne
969089879446577152,el_pais,Quinta Temporada
969089879446577152,el_pais,El País Gente
969089879446577152,el_pais,El Comidista
969089879446577152,el_pais,Raquel Bernácer
969089879446577152,el_pais,Cinco Días
969089879446577152,el_pais,EL PAÍS Blogs
969089879446577152,el_pais,Aprendemos Juntos
969089879446577152,el_pais,Fotografía EL PAÍS
969089879446577152,el_pais,El País Gente
969089879446577152,el_pais,Quinta Temporada
969089879446577152,el_pais,S Moda
969089879446577152,el_pais,verne
969089879446577152,el_pais,Tentaciones
969089879446577152,el_pais,Fotografía EL PAÍS
969089879446577152,el_pais,Fernando Navarro
969089879446577152,el_pais,EL PAÍS Madrid
969089879446577152,el_pais,EL PAÍS Tecnología
969089879446577152,el_pais,Fotografía EL PAÍS
969089879446577152,el_pais,Rozalén
969089879446577152,el_pais,EL PAÍS RETINA
969089879446577152,el_pais,verne
969089879446577152,el_pais,EL PAÍS España
969089879446577152,el_pais,El País Televisión
969089879446577152,el_pais,Natalia Marcos
969089879446577152,el_pais,El Comidista
969089879446577152,el_pais,Aitor Sánchez García
969089879446577152,el_pais,Eneko Ruiz Jiménez
969089879446577152,el_pais,Natalia Marcos
969089879446577152,el_pais,EL PAÍS RETINA
969089879446577152,el_pais,Quinta Temporada
969089879446577152,el_pais,El País Opinión
969089879446577152,el_pais,ICON EL PAÍS
969089879446577152,el_pais,Cinco Días
969089879446577152,el_pais,Tentaciones
969089879446577152,el_pais,Materia
969089879446577152,el_pais,Daniel Verdú
969089879446577152,el_pais,EL PAÍS Tecnología
969089879446577152,el_pais,Javier Casqueiro
969089879446577152,el_pais,S Moda
969090168186687488,abc_es,Hermann Tertsch
969090168186687488,abc_es,Rodrigo Muñoz
969090168186687488,abc_es,ABC KIOSKO Y MAS
969090168186687488,abc_es,Helena de la Casa
969090168186687488,abc_es,Alex Jiménez
969090168186687488,abc_es,Judith de Jorge
969090168186687488,abc_es,ABC Deportes
969090168186687488,abc_es,Bieito Rubido
969090168186687488,abc_es,Giuseppe Tringali
969090168186687488,abc_es,Mariano Calleja
969090168186687488,abc_es,Jose María Nieto
969090168186687488,abc_es,Ignacio S. Calleja
969090168186687488,abc_es,Tatiana G. Rivas
969090168186687488,abc_es,Federico Marín
969090168186687488,abc_es,?? Play Series
969090168186687488,abc_es,ABC Deportes
969090168186687488,abc_es,JP Quiñonero
969090168186687488,abc_es,El astrolabio
